﻿﻿﻿﻿﻿﻿﻿🇨🇳央视频道,#genre#
公众号[肥猫不肥],http://epg.112114.xyz/douyu/9588891
CCTV1,http://hz752.love:63/3111/astv.php?id=cctv1hd
CCTV1,http://39.134.136.151:6610/000000001000/1000000001000021973/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=00
CCTV1,http://hz752.love:63/3111/bst.php?id=cctv1
CCTV1,http://hz752.live:63/4761/cqyx.php?id=cctv1HD
CCTV1,http://hz752.love:63/3111/yst.php?id=hdcctv01
CCTV1,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV1,http://hz752.love:63/3111/migu.php?id=cctv1
CCTV1,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://hz752.love:63/3111/bfgd.php?id=488

CCTV2,http://hz752.love:63/3111/astv.php?id=cctv2hd
CCTV2,http://39.134.136.151:6610/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=00
CCTV2,http://hz752.love:63/3111/bst.php?id=cctv2
CCTV2,http://hz752.live:63/4761/cqyx.php?id=cctv2HD
CCTV2,http://hz752.love:63/3111/yst.php?id=cctv-2
CCTV2,http://hz752.love:63/3111/bst.php?id=cctv2
CCTV2,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV2,http://hz752.love:63/3111/migu.php?id=cctv2
CCTV2,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2,http://hz752.love:63/3111/bfgd.php?id=061
公众号[神秘的哥哥们],http://epg.112114.xyz/douyu/9588891
CCTV3,http://hz752.love:63/3111/astv.php?id=cctv3hd
CCTV3,http://39.134.136.151:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=00
CCTV3,http://hz752.love:63/3111/bst.php?id=cctv3
CCTV3,http://hz752.live:63/4761/cqyx.php?id=cctv3HD
CCTV3,http://hz752.love:63/3111/yst.php?id=cctv-3
CCTV3,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV3,http://hz752.love:63/3111/migu.php?id=cctv3
CCTV3,http://hz752.love:63/3111/bfgd.php?id=062

CCTV4,http://hz752.love:63/3111/astv.php?id=cctv4hd
CCTV4,http://39.134.136.151:6610/000000001000/1000000002000031664/index.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=00
CCTV4,http://hz752.love:63/3111/bst.php?id=cctv4
CCTV4,http://hz752.live:63/4761/cqyx.php?id=cctv4HD
CCTV4,http://hz752.love:63/3111/yst.php?id=cctv-4
CCTV4,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV4,http://hz752.love:63/3111/migu.php?id=cctv4
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://hz752.love:63/3111/bfgd.php?id=063

CCTV4欧洲,http://hz752.love:63/3111/astv.php?id=cctv4ohd
CCTV4欧洲,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw1798072077_1881739463/migu/kailu/20200324/cctv4ouhd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426160611&ContentId=265667313&timezone=UTC&mtv_session=a1f0d3ea23dedcfb57026533e0f9fba7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=205e99763af1a2e155df364630a7b05a
CCTV4欧洲,http://hz752.love:63/3111/migu.php?id=cctv4o

CCTV4美洲,http://hms344nc1972679590.live.aikan.miguvideo.com/wh7f454c46tw2087320283_-876815993/migu/kailu/20200324/cctv4meihd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426161100&ContentId=265667335&timezone=UTC&mtv_session=9de016f966bff8e72afcd5fccab460fe&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=79b8d51a3105d0beb31ae1f6db95827e
CCTV4美洲,http://hz752.love:63/3111/migu.php?id=cctv4a

CCTV4K,http://hz752.love:63/3111/cn4k.php?id=4khd
CCTV4K,http://hz752.live:63/4761/cn4k.php
CCTV4K,http://hz752.live:63/4761/tv4k.php
CCTV4K,http://hz752.love:63/3111/bst.php?id=cctv4k
CCTV4K,http://hz752.live:63/4761/cqyx.php?id=CCTV4K

CCTV5,http://hz752.love:63/3111/astv.php?id=cctv5hd
CCTV5,http://39.134.136.151:6610/000000001000/1000000001000004794/index.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=00
CCTV5,http://hz752.love:63/3111/bst.php?id=cctv5
CCTV5,http://hz752.live:63/4761/cqyx.php?id=cctv5HD
CCTV5,http://hz752.love:63/3111/yst.php?id=cctv-5
CCTV5,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV5,http://hz752.love:63/3111/migu.php?id=cctv5
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://hz752.love:63/3111/bfgd.php?id=064

CCTV5+,http://hz752.love:63/3111/astv.php?id=cctv5p
CCTV5+,http://39.134.136.151:6610/000000001000/1000000001000020505/index.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=00
CCTV5+,http://hz752.love:63/3111/bst.php?id=cctv5p
CCTV5+,http://hz752.live:63/4761/cqyx.php?id=cctv5SportHD
CCTV5+,http://hz752.love:63/3111/yst.php?id=hdcctv05plus
CCTV5+,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV5+,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV5+,http://hz752.love:63/3111/migu.php?id=cctv5p
CCTV5+,http://hz752.love:63/3111/bfgd.php?id=246

CCTV6,http://hz752.love:63/3111/astv.php?id=cctv6hd
CCTV6,http://39.134.136.151:6610/000000001000/1000000001000016466/index.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=00
CCTV6,http://hz752.love:63/3111/bst.php?id=cctv6
CCTV6,http://hz752.live:63/4761/cqyx.php?id=cctv6HD
CCTV6,http://hz752.love:63/3111/yst.php?id=cctv-6
CCTV6,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV6,http://hz752.love:63/3111/migu.php?id=cctv6
CCTV6,http://hz752.love:63/3111/bfgd.php?id=065

CCTV7,http://hz752.love:63/3111/astv.php?id=cctv7hd
CCTV7,http://39.134.136.151:6610/000000001000/1000000001000017218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=00
CCTV7,http://hz752.love:63/3111/bst.php?id=cctv7
CCTV7,http://hz752.live:63/4761/cqyx.php?id=cctv7HD
CCTV7,http://hz752.love:63/3111/yst.php?id=cctv-7
CCTV7,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV7,http://hz752.love:63/3111/migu.php?id=cctv7
CCTV7,http://hz752.love:63/3111/bfgd.php?id=127

CCTV8,http://hz752.love:63/3111/astv.php?id=cctv8hd
CCTV8,http://39.134.136.151:6610/000000001000/1000000001000003736/index.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=00
CCTV8,http://hz752.love:63/3111/bst.php?id=cctv8
CCTV8,http://hz752.live:63/4761/cqyx.php?id=cctv8HD
CCTV8,http://hz752.love:63/3111/yst.php?id=cctv-8
CCTV8,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV8,http://hz752.love:63/3111/migu.php?id=cctv8
CCTV8,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV8,http://hz752.love:63/3111/bfgd.php?id=066

CCTV9,http://hz752.love:63/3111/astv.php?id=cctv9hd
CCTV9,http://39.134.136.151:6610/000000001000/1000000001000014583/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=00
CCTV9,http://hz752.love:63/3111/bst.php?id=cctv9
CCTV9,http://hz752.live:63/4761/cqyx.php?id=cctv9HD
CCTV9,http://hz752.love:63/3111/yst.php?id=cctv-news
CCTV9,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV9,http://hz752.love:63/3111/migu.php?id=cctv9
CCTV9,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV9,http://hz752.love:63/3111/bfgd.php?id=128

CCTV10,http://hz752.love:63/3111/astv.php?id=cctv10hd
CCTV10,http://39.134.136.151:6610/000000001000/1000000001000026367/index.m3u8?channel-id=ystenlive&Contentid=1000000001000026367&livemode=1&stbId=00
CCTV10,http://hz752.love:63/3111/bst.php?id=cctv10
CCTV10,http://hz752.live:63/4761/cqyx.php?id=cctv10HD
CCTV10,http://hz752.love:63/3111/yst.php?id=cctv-10
CCTV10,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV10,http://hz752.love:63/3111/migu.php?id=cctv10
CCTV10,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV10,http://hz752.love:63/3111/bfgd.php?id=129

CCTV11,http://hz752.love:63/3111/astv.php?id=cctv11hd
CCTV11,http://39.134.136.151:6610/000000001000/1000000002000019789/index.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=00
CCTV11,http://hz752.love:63/3111/bst.php?id=cctv11
CCTV11,http://hz752.live:63/4761/cqyx.php?id=cctv11HD
CCTV11,http://hz752.love:63/3111/yst.php?id=cctv-11
CCTV11,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV11,http://hz752.love:63/3111/migu.php?id=cctv11
CCTV11,http://hz752.love:63/3111/bfgd.php?id=130

CCTV12,http://hz752.love:63/3111/astv.php?id=cctv12hd
CCTV12,http://39.134.136.151:6610/000000001000/1000000001000001640/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001640&livemode=1&stbId=00
CCTV12,http://hz752.love:63/3111/bst.php?id=cctv12
CCTV12,http://hz752.live:63/4761/cqyx.php?id=cctv12HD
CCTV12,http://hz752.love:63/3111/yst.php?id=cctv-12
CCTV12,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000202603.m3u8
